"","cyberDate","cyberTitle","cyberPrice","cyberCity","cyberDescriptive"
"26",2020-04-18,"Capas para Iphone Xs","5","Funchal, Centro","Capas para Iphone XS 5€ todas
967569435"
"27",2020-04-18,"Huawei p30 pro Possível troca por iphone","550","Imaculado Coração de Maria, Quinta Deão","Está em óptimo estado  tem algumas marcas de uso..."
"28",2020-04-18,"Wiko Y60","35","Santa Maria Maior, Rochinha","Wiko Y 60 para peças , em bom estado com capa
T.9..."
"29",2020-04-17,"Oneplus 5 64GB - Pouco uso","260","Arco da Calheta, Loreto","Telemóvel com apenas 5 meses de utilização.
Em ..."
"30",2020-04-17,"VENDO MEO SMARTPHONE COM ENTRADA PARA CARTÃO DE MEMÓRIA DE 32GB, COMO NOVO, E COM CARREGADOR. VALOR: 50?","50","Câmara de Lobos, Preces","VENDO MEO SMARTPHONE COM ENTRADA PARA CARTÃO DE M..."
"31",2020-04-17,"Xiaomi Mi 8 64GB","300","Funchal, Centro","Boas. Vendo o meu Xiaomi Mi 8. O smartphone está ..."
"32",2020-04-17,"BATERIA B43","13","Estreito de Câmara de Lobos, Covão","BATERIA NOVA DE XIAOMI COM ACESSÓRIOS."
"33",2020-04-17,"Iphone 6 NOVO IPHONE 6","220","Estreito de Câmara de Lobos, Covão","IPHONE 6 de 64Gb memoria interna, está em excelen..."
"34",2020-04-17,"Vendo capa capitão América para lG G5","10","São Martinho, Santa Rita","Vendo capa capitão América para LG G5"
"35",2020-04-16,"Samsung Active","120","São Martinho, Santa Rita","Vendo Smartwatch samsung active, pouco uso, pratic..."
"36",2020-04-16,"Fita flex Samsung SGH-J600E","7","Caniço, Assomada","Fita flex para telemóvel Samsung SGH-J600E.
 Disp..."
"37",2020-04-16,"Adaptador OTG micro usb macho para ficha A femea","4","Caniço, Assomada","Adaptador OTG com ficha micro usb macho para ficha..."
"38",2020-04-16,"Adaptador OTG ficha C para USB2.0 ficha A","6","Caniço, Assomada","Adaptador OTG com o ficha tipo C USB3.1 para ficha..."
"39",2020-04-16,"Telemóvel Nokia 6700s  desbloqueado","35","Caniço, Assomada","Telemóvel Nokia 6700s robusto e em excelente esta..."
"40",2020-04-16,"BQ aquaris 4.5 android","60","Funchal, Centro","em muito bom estado"
"41",2020-04-16,"Capa original flip cover samsung galaxy S5","15","Imaculado Coração de Maria, Quinta Deão","Vendo Capa Original Flip Cover Samsung Galaxy S5 c..."
"42",2020-04-16,"Printers E samsung phone fax","30","Madalena do Mar, Igreja","Boas ,tenho seguintes itens. Para vender todos fun..."
"43",2020-04-16,"Auricular original nokia encaixe pequeno","1","Ribeira Brava, Heredias","vendo 3 auriculares nókia de encaixe pequeno 9255..."
"44",2020-04-15,"Iphone 6S Com icloud bloqueado novo com capa","60","Funchal, Centro","Icloud bloqueado 32gigas ecra preto estado novo co..."
"45",2020-04-15,"Samsung MEO","10","Caniço, Eiras","Samsung GT-E2220 com carregador em muito bom estad..."
"46",2020-04-15,"iPhone 8 64GB como novo (dentro da garantia)","350","Funchal, Centro","Vendo iPhone 8 Preto 64GB como novo, sempre usado ..."
"47",2020-04-15,"Huawei P9","135","Caniço, Assomada","Vendo Huawei P9 em excelente estado, telemóvel co..."
"48",2020-04-15,"Xiaomi Mi 4","80","São Martinho, Ajuda","Impecável. 3 GB RAM. Não aceito trocas"
"49",2020-04-15,"Xiaomi Mi A2","110","São Martinho, Ajuda","4 GB Ram / 64 GB Rom. Ecrã de 6 polegadas. Como n..."
"50",2020-01-04,"Telemovel nokia 5140 anti-choque","40","Caniço, Assomada","Telemovel Nokia 5140 antichoque , e um equipamento..."
"51",2020-04-15,"Iphone 6S 64gb","140","São Martinho, Lido","Vendo iphone 6s space grey  imaculado, sem nenhuma..."
"52",2020-04-14,"huawey p10 plus prateado","200","Funchal, Centro","huawey p10  plus 128 gigas formatado  em muito bom..."
"53",2020-04-14,"Suporte para telemóveis","9","Caniçal, Zona Franca Industrial","Este universal  suporte do telefone é compatível..."
"54",2020-04-14,"Carregador USB 3.0","12","Caniçal, Zona Franca Industrial","QC3.0: garante uma eficiência de carregamento mai..."
"55",2020-04-14,"Cabo iPhone","6","Caniçal, Zona Franca Industrial","Cabo lighting USB para iPhone 5/ 5C/ 5S/ 6/ 6S/ 7 ..."
"56",2020-04-14,"Cabo iPhone","6","Caniçal, Zona Franca Industrial","Cabo de carga e de dados para iPhone 4,4S,3, IPOD ..."
"57",2020-04-14,"Cabo TIPO-C","6","Caniçal, Zona Franca Industrial","Cabo TIPO-C, de marca TOPK
Carrega até 40% mais r..."
"58",2020-04-14,"Cabo Micro-USB","6","Caniçal, Zona Franca Industrial","Cabo MICRO-USB, de marca TOPK
Carrega até 40% mai..."
"59",2020-04-14,"30 carregadores","15","São Martinho, Pilar","Mais de 30 carregadores, todos por 15 euros(aos in..."
"60",2020-04-14,"Iphone 6 vendo iphone 6 16Gb Silver desbloqueado.","110","Funchal, Centro","vendo iphone 6 16Gb Silver desbloqueado."
"61",2020-04-13,"Cabo lightning Raxfly para iPhone ou iPad","10","Caniço, Assomada","Cabo de dados e carregamento marca Raxfly para iPh..."
"62",2020-04-12,"Lindo","60","Calheta, Estrela &Aacute; Cima","Vendo melhor oferta"
"63",2020-04-12,"Capa Samsung S10e Original","12","Santo António, Centro","Capa original, nova (custa na loja 29.90€)"
"64",2020-04-12,"Powerbank Huawei 5000mah","12","Santo António, Centro","Usado (poucas vezes) em bom estado"
"65",2020-04-12,"Samsung Note 10+","750","São Martinho, Amparo","Samsung Note 10+. Novo . Na caixa com garantia. No..."
"66",2020-04-12,"bluetooth estilo Apple","15","Santo António da Serra, Cabeço da Ribeira de João Gonçalves","novos em caixa , compatível com todos sistemas Bl..."
"67",2020-04-12,"Iphone 7 iphone 7 - tela  retina","1","Santo António da Serra, Cabeço da Ribeira de João Gonçalves","Iphone  7  livre para todas redes tela  retina com..."
"68",2020-04-12,"Display samsung j3","25","Serra de &Aacute;gua, Fajã dos Vinháticos","Vendo display samsung j3 novinho em folha. 
Compra..."
"69",2020-04-12,"Bateria nova asus zenfone max","20","Serra de &Aacute;gua, Fajã dos Vinháticos","Vendo bateria nova nunca usada para asus zenfone m..."
"70",2020-04-12,"Iphone 7 iPhone 7 32 GB Branco desbloqueado","150","Santo António, Pico dos Barcelos","iPhone 7 de 32 GB em excelente estado de conserva�..."
"71",2020-04-11,"Asus Zenfone 16GB Dual SIM","70","Arco da Calheta, Sítio das Amoreiras","Asus Zenfone 16GB Dual SIM, em bom estado. Preço ..."
"72",2020-04-11,"Carregador de bateria Samsung  DCH091BBE","6","Caniço, Assomada","Carregador de bateria , original Samsung modelo DC..."
"73",2020-04-11,"Carregador Alcatel 3DS 06568AAAA","7","Caniço, Assomada","Carregador Alcatel modelo 3DS 06568AAAA 12V 300mA...."
"74",2020-04-11,"Carregador original Nokia AC-2E. Com ficha grossa","7","Caniço, Assomada","Carregador original Nokia modelo AC-2E com ficha g..."
"75",2020-04-11,"iPhone 4s","50","Funchal, Centro","Vendo iPhone 4s para peças, e com 2 capas caso se..."
"76",2020-04-11,"Carregador Alcatel modelo 3DS09371AAAA   4.5V  350mA","7","Caniço, Assomada","Carregador Alcatel modelo 3DS09371AAAA. 4.5V 350mA..."
"77",2020-04-11,"Transformador IW506E  6V 500mA","7","Caniço, Assomada","Transformador modelo IW506E 6V 500mA. Disponíveis..."
"78",2020-04-11,"Carregador Alcatel 3DS 04423 AAAA 12V 500mA","8","Caniço, Assomada","Carregador Alcatel 3DS 04423 AAAA 12V 500mA. 
 Dis..."
"79",2020-04-11,"Carregador Motorola SPN4682B. PLM4682A  4.0VDC 350mA","7","Caniço, Assomada","Carregador Motorola modelo SPN4682B , PLM4682A car..."
"80",2020-04-11,"Carregador original Nokia ACP-12E 5,7V 800mA","8","Caniço, Assomada","Carregador original Nokia modelo ACP-12E caracter�..."
"81",2020-04-11,"Carregador VT04EEU06045 6V  450mA","7","Caniço, Assomada","Transformador alimentação VTPL switching power s..."
"82",2020-04-11,"Carregador Nokia AC-3E","6","Caniço, Assomada","Carregador original Nokia AC-3E  5V 350mA , carreg..."
"83",2020-04-11,"Carregador original nokia ACP-7E ponta grossa","6","Caniço, Assomada","Carregador Nokia ACP-7E  de 3,7V 355mA para telem�..."
"84",2020-04-11,"Samsung note 10","800","São Martinho, Barreiros","Telemóvel Samsung Note 10 prateado, com apenas al..."
"85",2020-04-10,"Carregador 5V 1A com saída USB","6","Caniço, Assomada","Carregador para telemóveis / Tablet 5V 1A com fic..."
"86",2020-04-10,"Carregador samsung micro usb ","8","Caniço, Assomada","Carregador Samsung micro usb compat&iacute;vel com..."
"87",2020-04-10,"Carregador TA013G para telemovel samsung","8","Caniço, Assomada","Carregador TA013G 5V 700mAh para telemóveis Samsu..."
"88",2020-04-10,"Carregador Samsung ETAOU10EBE  5V 700mAh","8","Caniço, Assomada","Carregador original para telemóveis Samsung model..."
"89",2020-04-10,"Huawei","10","&Aacute;gua de Pena, Queimada Cima","Tenho material de tele huawei novo como bateria. C..."
"90",2020-04-10,"Samsung s8","310","Funchal, Centro","Vendo samsung s8 como novo, o único problema é o..."
"91",2020-04-10,"Samsung","130","Caniço, Caniço de Baixo","Vendo Samsung j5 2016 como novo"
"92",2020-04-10,"lindo desportivo","10","Camacha, Centro","lindo desportivo diferente...em cima hora em baixo..."
"93",2020-04-10,"Power Bank SBS","20","Calheta, Cruz","Recarga rápida. 2 entradas USB."
"94",2020-04-09,"Placa electrónica Nokia 6600","20","Caniço, Assomada","Placa eletronica para telemóvel Nokia 6600.
Qualq..."
"95",2020-04-09,"Vendo iphone 5s as peças","40","Funchal, Centro","vendo iphone 5s as peças"
"96",2020-04-09,"Phones auriculares Bluetooth 5.0 fones de ouvido wifi TWS F9 Mini Fones €20,00","22","Sé, Centro","Descrição
Fone de ouvido Bluetooth 5.0 Fone de o..."
"97",2020-04-09,"Carregador baterias Huawei HB5V1 para Huawei Y300 , U8833","5","Caniço, Assomada","Carregador de baterias Huawei HB5V1 compatível co..."
"98",2020-04-09,"Carregador universal com saida usb 5V 750MAH","6","Caniço, Assomada","Carregador universal 5V 750 mAh com saída USB. Ne..."
"99",2020-04-09,"Carregador original blackberry","10","Caniço, Assomada","Carregador original Blackberry modelo RIM-C 0004AD..."
"100",2020-04-09,"Carregador de baterias sciphone","5","Caniço, Assomada","Carregador para baterias de telemóvel  Sciphone. ..."
"101",2020-04-09,"Carregador a pilhas para telemóvel","5","Caniço, Assomada","Carregador com lanterna para telemóveis. Com este..."
"102",2020-04-09,"Carregador Sony ericsson EP800 5V 850MAH","10","Caniço, Assomada","Carregador original Sony Ericsson 5V 850mAh para T..."
"103",2020-04-09,"Carregador original motorola ficha mini usb  5V 550MAH","6","Caniço, Assomada","Carregador original Motorola modelo 5100 com ficha..."
"104",2020-04-09,"Carregador palm one treo t|x ","8","Caniço, Assomada","Carregador para Palm One Treo T|X. Dispon&iacute;v..."
"105",2020-04-09,"Carregador 5V 1A com saida usb + cabo micro usb","10","Caniço, Assomada","Carregador de 5V 1000mA com saída USB + cabo micr..."
"106",2020-04-09,"Gsm spy camera E audio via cartão sim micro sd","18","Sé, Centro","ARTIGO NOVO ---- PREÇO NÃO NEGOCIÁVEL

FARTO ..."
"107",2020-04-09,"Telemóvel relogio Q18 para iphone samsung androide etc","20","Sé, Centro","ARTIGO NOVO ------- PREÇO FIXO NÃO É NEGOCIÁVE..."
"108",2020-04-09,"Télemovel relógio touch screen androide","18","Sé, Centro","Telemóveis relógios NOVOS, NÃO ACEITO TROCAS
..."
"109",2020-04-09,"Iphone 6S Vendo iPhone 6s pink gold c/ oferta de outro iPhone6s preto bloqueado a cloud","180","São Roque, Galeão","Vendo iPhone 6s pink gold c/ oferta de outro iPhon..."
"110",2020-04-09,"Telemóveis Vintage NOKIA e outros","120","São Roque, Galeão","Vendo conjunto de 5 telemóveis NOKIA antigos em f..."
"111",2020-04-09,"Iphone 3GS Apple iPhone 3GS - 16GB (Preto)","80","São Roque, Galeão","Vendo Apple iPhone 3GS - 16GB (Preto) a funcionar ..."
"112",2020-04-09,"Blackberry Curve 8520 Smartphone preto","20","São Roque, Galeão","Vendo Blackberry Curve 8520 Smartphone preto com c..."
"113",2020-04-09,"Blackberry Curve 8520 Smartphone","25","São Roque, Galeão","Vendo Blackberry Curve 8520 branco a funcionar na ..."
"114",2020-04-07,"Selfie Stick","5","Arco da Calheta, Sítio das Amoreiras","Selfie Stick compatível com qualquer telemóvel."
"115",2020-04-07,"ECRAN PARA SMARTEPHONE 14 ""","25","Camacha, Nogueira","transforma o telemovel em televisao veja tudo giga..."
"116",2020-04-07,"Vendo telemóvel novo apenas ecrã partido","1","&Aacute;gua de Pena, Matur","Vendo telemóvel com ecrã partido está novo meno..."
"117",2020-04-06,"Huawei","7","Funchal, Centro","Vendo por não dar uso"
"118",2020-04-06,"Carregador sagem 188658537 modelo DA2-3102EUWR 5V 0.4A","5","Caniço, Assomada","Carregador novo, original modelo DA2-3102EUWR para..."
"119",2020-04-06,"Carregador universal de baterias  BLT-002","5","Caniço, Assomada","Carregador universal de baterias de telemovel de 3..."
"120",2020-04-06,"iPhone 6 pois para pecas","70","Santo António, Pico dos Barcelos","Boas vendo iPhone 6 em bom estado para peças tem ..."
"121",2020-04-06,"motorola one action","250","Machico, Poço do Gil","motorola one action de 128 gb  troco so iphone 8 p..."
"122",2020-04-06,"Iphone 8 Plus Iphone 8 Plus 64GB desbloqueado 1 ano de garantia","420","Santo António, Pico dos Barcelos","Telemovel de empresa,com alguns riscos superficiai..."
"123",2020-04-06,"Rádio VHF UHF Baofeng UV-5R","50","Caniço, Assomada","Rádio de comunicações VHF / UHF portatil marca ..."
"124",2020-04-06,"Samsung s7","30","&Aacute;gua de Pena, Bem Posta","Para peças mas ele acende obrigado"
"125",2020-04-05,"Telemóvel Vodafone Sharp","15","Caniço, Figueirinhas","Telemóvel praticamente novo.
Câmara: Câmara Di..."
"126",2020-04-05,"Samsung Galaxy S8+ Argent","270","Funchal, Centro","Vendo Samsung Galaxy S8+ Argent de 64GB, que encon..."
"127",2020-04-04,"Samsung Galaxy S8","360","Caniço, Eiras","Telemóvel como novo com película de proteção n..."
"128",2020-04-04,"Iphone 7 Troco iPhone 7 32gb preto","200","Caniçal, Serrado dos Marmeleiros","Troco iPhone 7 32gb preto, levou uma bateria nova ..."
"129",2020-04-04,"Samsung Galaxy a3 2017","95","Funchal, Centro","Samsung Galaxy A3 2017 em bom estado, desbloqueado..."
"130",2020-04-03,"USB  Endoscope","10","Funchal, Centro","usb endoscope
COM LUZ LED. E CAMARA"
"131",2020-04-03,"Vendo","40","São Martinho, Vitória","Boas vendo Samsung S4 Mini desbloqueado com marcas..."
"132",2020-04-03,"Vendo Huawei P10 desbloqueado","160","São Martinho, Vitória","Boas
Vendo Huawei P10 desbloqueado de 64gh de mem�..."
"133",2020-04-03,"Ficha micro usb","2","Caniço, Assomada","Ficha micro usb para soldar a carregador que tenha..."
"134",2020-04-02,"Ecrã samsung j330 Original","30","Santa Maria Maior, Transval","Vendo ecrã samsung j330 novo e Original"
"135",2020-04-02,"Ficha micro usb telemovel lg E400 E610 E960 P700 P705 P710 P760 P768 P769 P880","4","Caniço, Assomada","Ficha micro usb para telemóvel LG , compatível c..."
"136",2020-04-02,"Conector de carga e dados telemóvel Motorola","8","Caniço, Assomada","Conector / ficha de carregamento e dados para tele..."
"137",2020-04-02,"Conector de carga dados telemóvel Motorola","8","Caniço, Assomada","Conector / ficha de carregamento e dados para tele..."
"138",2020-04-01,"Huawei Mate 20 PRO","550","São Martinho, Amparo","Preço NEGOCIAVEL
Vendo com 3 capas: 1 Original da..."
"139",2020-04-01,"Lg g7 azul como novo negociável","350","Funchal, Centro","Lg g7 azul como novo capa protetora bateria em exc..."
"140",2020-04-01,"Vendo samsung s7 edge","300","São Martinho, Centromar","Vendo Samsung s7 edge como novo com pouco uso ou n..."
"141",2020-04-01,"Samsung note 3","100","Funchal, Centro","Vendo dois Samsung note 3. 32 GB. Ambos a funciona..."
"142",2020-04-01,"Ficha micro usb telemóvel Doogee S30 e S60 Lite","6","Caniço, Assomada","Ficha micro usb / ficha de carregamento para smart..."
"143",2020-04-01,"Placa com conector carga telemóvel  Oukitel K6000 Pro","12","Caniço, Assomada","Placa eletronica com ficha micro usb / conector de..."
"144",2020-03-31,"Porta USB de carregamento smartphone Huawei Honor Y6-II , Y6-2","13","Caniço, Assomada","Porta de carregamento para smartphone Huawei Honor..."
"145",2020-03-31,"Ficha micro usb Huawei Play 6 CAM-L21 , CAM-L23 , DIG-AL00 , MYA-AL10","4","Caniço, Assomada","Ficha micro usb para smartphone Huawei Play 6 comp..."
"146",2020-03-31,"Ficha micro usb smartphone Huawei P8 Lite ALE-L21","4","Caniço, Assomada","Ficha micro usb / conector de carga para telemóve..."
"147",2020-03-31,"Ficha micro usb huawei Y625","4","Caniço, Assomada","Ficha micro usb para telemovel Huawei Ascend Y625...."
"148",2020-03-31,"Conector de carga telemóvel Huawei G510 G529 Y300","4","Caniço, Assomada","Conector de carga / ficha micro usb para telemóve..."
"149",2020-03-31,"Ficha micro usb smartphone Huawei Kestrel G535-L11","4","Caniço, Assomada","Ficha micro usb para telemóvel Huawei Ascend G535..."
"150",2020-03-31,"Ficha micro usb meo smart A25","4","Caniço, Assomada","Ficha micro usb para telemovel Meo Smart A25. Disp..."
"151",2020-03-31,"Ficha micro usb Asus Zenfone 4 Max ZC520KL","5","Caniço, Assomada","Ficha micro usb / USB Port para smartphone Asus Ze..."
"152",2020-03-31,"Ficha micro usb Alcatel 4033 6012 6035 7040 7041 Pop C7","4","Caniço, Assomada","Ficha micro usb para Alcatel compatível com vári..."
"153",2020-03-31,"Ficha micro usb telemóvel Huawei G621-TL00 , G620S , Y550 , L75 , UL00 , CHE1-CL20","5","Caniço, Assomada","Ficha micro usb compatível com vários smartphone..."
"154",2020-03-31,"Conector de carga telemóvel Tmn Smart A7","4","Caniço, Assomada","Ficha micro usb / conector de carga para telemóve..."
"155",2020-03-31,"Conector de carga telemóvel Zte Blade G Lux","4","Caniço, Assomada","Conector de carga / ficha de carregamento para tel..."
"156",2020-03-31,"Conector de carga telemóvel Meo Smart A40","4","Caniço, Assomada","Conector de carga para smartphone Meo Smart A40.  ..."
"157",2020-03-31,"Conector de carga smartphone Zte Blade L2","4","Caniço, Assomada","Conector de carga / ficha micro usb para telemóve..."
"158",2020-03-31,"Conector de carga Sony Z5 Compact","8","Caniço, Assomada","Conector de carga / ficha de carregamento para tel..."
"159",2020-03-31,"Ficha micro usb Sony Xperia M2 D2302 D2303 D2305 D2306 S50H","4","Caniço, Assomada","Ficha micro usb para telemóvel Sony Xperia M2 com..."
"160",2020-03-31,"Ficha micro usb Sony C6602 , C6603 , LT25C , LT29I , LT36 , LT36H , L36I , etc","4","Caniço, Assomada","Ficha micro usb para telemóveis Sony compatível ..."
"161",2020-03-31,"Ficha micro usb Sony C2104 , C2105 , C2304 , C2305 , MT25 , ST26 , ST26I , etc","4","Caniço, Assomada","Ficha micro usb para telemóveis Sony compatível ..."
"162",2020-03-31,"Ficha micro usb Sony C1904 , C1905 , C2204 , C2205","4","Caniço, Assomada","Ficha micro usb para telemovel Sony C1904 , C1905 ..."
"163",2020-03-31,"Ficha micro usb Sony xperia go ST27 , ST27I , etc","4","Caniço, Assomada","Ficha micro usb para telemóveis Sony compativel c..."
"164",2020-03-31,"Ficha micro usb Sony C5302 , C5303 , etc","4","Caniço, Assomada","Ficha micro usb para smartphone Sony compatível c..."
"165",2020-03-31,"Ficha micro usb Sony E10 , U8 , X10 , etc","4","Caniço, Assomada","Ficha micro usb para telemovel Sony E10 , U8 , X10..."
"166",2020-03-31,"Ficha grossa carregamento telemoveis Nokia","4","Caniço, Assomada","Ficha de carregamento para telemóveis Nokia , com..."
"167",2020-03-31,"Conector de carga telemóvel Nokia Lumia 535","4","Caniço, Assomada","Conector de carga / ficha de carregamento para tel..."
"168",2020-03-31,"Ficha fina alimentação para nokia","4","Caniço, Assomada","Ficha jack de alimentação para telemóveis Nokia..."
"169",2020-03-31,"Ficha micro usb / porta carregamento Samsung Galaxy Grand GT-i9080","4","Caniço, Assomada","Ficha micro usb / porta de carregamento para telem..."
"170",2020-03-31,"Ficha micro usb samsung GT-I8550 , GT-I9060 , GT-I9080 , GT-I9082 ","4","Caniço, Assomada","Ficha micro usb compat&iacute;vel com v&aacute;rio..."
"171",2020-03-31,"Ficha micro usb para telem&oacute;veis samsung I8910 I9000 I9003 I9008 S800 S5630 S5660 S5690 T959","4","Caniço, Assomada","Ficha micro usb para telemóveis compatível  com ..."
"172",2020-03-31,"Ficha micro usb samsung SM-G350 , GT-I8162 , GT-I8260 ,GT-S6812 , GT-S7582","4","Caniço, Assomada","Ficha micro usb / conector de carga para smartphon..."
"173",2020-03-31,"Ficha micro usb smartphone Samsung","4","Caniço, Assomada","Ficha micro usb / conector de carga para telemovel..."
"174",2020-03-31,"Ficha micro usb telemovel samsung GT-I9190 , GT-I9192 , GT-I9195 , GT-I9197 , SGH-T399","4","Caniço, Assomada","Ficha micro usb para smartphone Samsung , compatí..."
"175",2020-03-31,"Ficha micro usb Samsung Galaxy S3 GT-i9300 , GT-i9301","4","Caniço, Assomada","Ficha micro usb para smartphone,Samsung Galaxy S3 ..."
"176",2020-03-31,"Ficha micro usb samsung G318H , S6810 , S7390 , S7392","4","Caniço, Assomada","Ficha micro usb para smartphone Samsung, compative..."
"177",2020-03-31,"Ficha micro usb Samsung J1 J3 J5 J7 SM-J100 SM-J300F , SM-J500 SM-J700","4","Caniço, Assomada","Ficha micro usb compatível com vários modelos en..."
"178",2020-03-31,"Conector de carga Samsung J3 SM-J320FN","4","Caniço, Assomada","Ficha micro usb / conector de carga para smartphon..."
"179",2020-03-31,"Iphone X Apple itunes gift card 50 euros","45","São Martinho, Nazaré","Vendo um cartao ""Apple itunes gift card 50 euros ""..."
"180",2020-03-30,"Samsung S6 ecran danificado","20","Santo António, Madalenas","Samsung S6, apenas tem o ecran danificado, funcion..."
"181",2020-03-30,"Power Bank Wireless Fast Charger","25","Funchal, Centro","Power Bank Wireless Fast Charger estado: novo, nun..."
"182",2020-03-30,"Power Bank Wireless Fast Charger","25","Funchal, Centro","Power Bank Wireless Fast Charger estado: novo, nun..."
"183",2020-03-30,"Cabo Carregamento Rápido Magnético OLAF 3A Tipo C","11","Sé, Centro","Boas, vendo cabo magnético de carregamento rápid..."
"184",2020-03-30,"Cabo OLAF 3A tipo C de carregamento rápido magnético","11","Sé, Centro","Boas, vendo cabo magnético de carregamento rápid..."
"185",2020-03-30,"Cabo OLAF 3A tipo C de carregamento rápido magnético","11","Sé, Centro","Boas, vendo cabo magnético de carregamento rápid..."
"186",2020-03-30,"Iphone 7 Vendo Iphone 7 128GB novo","399","São Martinho, Arieiro","Vendo iphone 7 128GB novo. Telefone é novo vindo ..."
"187",2020-03-30,"Samsung A30","250","Câmara de Lobos, Centro","Telemovel praticamente novo, tem os plasticos e ga..."
"188",2020-03-29,"Smartphone SAMSUNG Galaxy A71 (6.7'' - 6 GB - 128 GB - Cinzento","450","Santo António, Madalenas","Equipamento com dois anos de garantia."
"189",2020-03-29,"Smartphone NOVO","40","Camacha, Centro","Smartphone novo nunca usado, Sistema operacional A..."
"190",2020-03-29,"Iphone 4S Iphone 4s 8g","50","Caniço, Garajau","Iphone 4s 8g desbloqueado ainda com garantia sem r..."
"191",2020-03-29,"Duas capas galaxy s4","5","São Roque, Galeão","Boas vendo duas capas de samsung galaxy s4 
(A az..."
"192",2020-03-28,"Iphone 4 Iphone 4","70","Imaculado Coração de Maria, Til","Iphone 4 preto como novo."
"193",2020-03-28,"Iphone 4S Iphone 4s 16gb","80","Imaculado Coração de Maria, Til","Iphone 4s 16gb desbloqueado rede e icloud. Ta como..."
"194",2020-03-28,"Iphone 5C Iphone 5c","100","Imaculado Coração de Maria, Til","Iphone 5c 16gb ta como novo sem riscos.desbloquead..."
"195",2020-03-28,"Capa capas pelicula nokia lumia 930","5","Ponta Delgada, Ponta Delgada","vendo capas Nokia Lumia 930: 10? , 5? em boas cond..."
